pl_name,hostname,sy_dist,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,disc_year,discoverymethod,disc_facility
"Kepler-330 c","Kepler-330",717.52700000,15.95538700000,1.95000000,,,,,5117.00,0.722000,,2014,"Transit","Kepler"
"Kepler-1348 b","Kepler-1348",1213.82000000,27.57227420000,1.94000000,,,,,5911.00,1.040000,1.040000,2016,"Transit","Kepler"
"Kepler-286 c","Kepler-286",1226.85000000,3.46809500000,1.37000000,,,,,5580.00,0.863000,,2014,"Transit","Kepler"
"Kepler-129 d","Kepler-129",408.84500000,2646.00000000000,,2637.97577810,,0.150000,,5770.00,1.653000,1.178000,2021,"Radial Velocity","W. M. Keck Observatory"
"Kepler-364 c","Kepler-364",891.46200000,59.98062700000,2.15000000,,,,,6108.00,1.284000,,2014,"Transit","Kepler"
"HIP 114933 b","HIP 114933",101.76600000,1481.60000000000,,616.58710958,,0.210000,,4823.00,5.270000,1.390000,2021,"Radial Velocity","Multiple Observatories"
"HD 156411 b","HD 156411",56.86550000,842.20000000000,,235.18000000,,0.220000,,5900.00,2.160000,1.250000,2009,"Radial Velocity","La Silla Observatory"
"K2-190 b","K2-190",160.67900000,10.09885800000,1.35673729,,,,88.35712,5631.00,0.912206,0.904597,2018,"Transit","K2"
"Kepler-199 c","Kepler-199",521.05400000,67.09340800000,3.25000000,,,,,5644.00,0.967000,,2014,"Transit","Kepler"
"K2-224 b","K2-224",275.25500000,4.47904000000,1.56000000,,1002.00,,,5620.00,0.840000,0.910000,2018,"Transit","K2"
"EPIC 212624936 c","EPIC 212624936",561.92900000,11.81143700000,2.30000000,,,,90.00000,5765.00,0.930000,,2021,"Transit","K2"
"OGLE-2013-BLG-0102L b","OGLE-2013-BLG-0102L",3040.00000000,,,4100.00000000,,,,,,0.096000,2014,"Microlensing","OGLE"
"Kepler-842 b","Kepler-842",532.72600000,1.21956827000,1.60000000,,,,,4848.00,0.730000,0.780000,2016,"Transit","Kepler"
"Kepler-404 b","Kepler-404",812.52400000,11.82985100000,1.27000000,,,,,5654.00,0.884000,,2014,"Transit","Kepler"
"K2-18 c","K2-18",38.02660000,8.96200000000,,7.51000000,363.00,0.470000,,3457.00,0.411000,0.359000,2017,"Radial Velocity","La Silla Observatory"
"HD 63935 c","HD 63935",48.97390000,21.40270000000,3.06451296,11.10000000,619.59,0.000000,,5513.00,0.959800,0.940600,2021,"Radial Velocity","Multiple Observatories"
"TOI-1670 b","TOI-1670",168.06700000,10.98462000000,2.06000000,41.31769291,1062.00,0.590000,86.87000,6170.00,1.316000,1.210000,2022,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1414 b","Kepler-1414",570.83500000,3.51576315000,1.23000000,,,,,4951.00,0.750000,0.800000,2016,"Transit","Kepler"
"Kepler-171 c","Kepler-171",863.85500000,11.46346200000,2.56000000,,,,,5642.00,0.839000,,2014,"Transit","Kepler"
"Kepler-1001 c","Kepler-1001",928.97800000,9.18186000000,1.57799279,,,,,5376.00,0.836475,0.930000,2020,"Transit","Kepler"
"Kepler-176 e","Kepler-176",527.32100000,51.16579000000,1.45000000,,,,,5295.00,0.830000,0.870000,2016,"Transit","Kepler"
"TOI-2969 b","TOI-2969",163.99600000,1.82371460000,12.32987877,368.68095212,1186.00,0.000000,84.90000,4738.00,0.700000,0.710000,2025,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"HD 126614 b","HD 126614",73.09610000,1257.25303000000,,107.74382997,,0.548000,97.47700,,,0.960000,2009,"Radial Velocity","W. M. Keck Observatory"
"ome Ser b","ome Ser",76.75560000,278.59000000000,,233.92170755,,0.180000,,4724.00,10.990000,1.010000,2013,"Radial Velocity","Okayama Astrophysical Observatory"
"Kepler-1879 b","Kepler-1879",627.17100000,10.61340046000,2.06512018,,,,,5865.00,1.388000,1.023000,2021,"Transit","Kepler"
"Kepler-414 b","Kepler-414",413.46000000,4.70000000000,1.71000000,3.50000000,,,,,0.946000,0.890000,2014,"Transit Timing Variations","Kepler"
"Kepler-590 b","Kepler-590",1421.81000000,5.85296257000,4.02000000,,,,,6000.00,1.150000,1.100000,2016,"Transit","Kepler"
"K2-95 b","K2-95",179.85400000,10.13464540000,3.31000000,,474.00,,,3566.00,0.400000,0.410000,2016,"Transit","K2"
"OGLE-TR-132 b","OGLE-TR-132",2012.62000000,1.68986800000,13.45000000,375.02000000,2013.00,,83.40000,6210.00,1.320000,1.305000,2004,"Transit","OGLE"
"TOI-201 c","TOI-201",113.82500000,2800.00000000000,11.13051784,4513.16337940,,0.643000,89.89600,,1.339000,1.316000,2025,"Transit Timing Variations","Transiting Exoplanet Survey Satellite (TESS)"
"TOI-5261 b","TOI-5261",377.05400000,4.15097680000,11.60129502,3651.84839643,1244.00,0.158500,86.07000,5790.00,1.021000,1.037000,2025,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"K2-275 c","K2-275",123.43800000,8.43883850000,2.21000000,,653.00,,,4841.00,0.690000,0.770000,2018,"Transit","K2"
"HATS-23 b","HATS-23",639.00400000,2.16051560000,20.84874000,467.21010000,1654.00,0.114000,81.02000,5780.00,1.199000,1.121000,2017,"Transit","HATSouth"
"HD 2039 b","HD 2039",85.69220000,1120.00000000000,,1999.15070000,,0.710000,,5945.00,1.190000,1.230000,2002,"Radial Velocity","Anglo-Australian Telescope"
"Kepler-1542 e","Kepler-1542",399.11400000,5.10115756000,0.76000000,,,,,5564.00,0.990000,0.940000,2016,"Transit","Kepler"
"BD+20 2457 c","BD+20 2457",1539.71000000,621.99000000000,,3963.17000000,,0.180000,,4137.00,49.000000,2.800000,2009,"Radial Velocity","McDonald Observatory"
"K2-59 b","K2-59",311.31300000,20.69210000000,2.41000000,,,,,5055.00,0.731000,0.774000,2016,"Transit","K2"
"HD 220689 b","HD 220689",46.87780000,2266.40000000000,,355.33394000,,0.054000,,5921.00,1.068000,1.016000,2012,"Radial Velocity","La Silla Observatory"
"MOA-2016-BLG-526L b","MOA-2016-BLG-526L",6930.00000000,,,14.93793513,,,,,,0.370000,2024,"Microlensing","MOA"
